Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
R1138,23.7mm,69.637500mm,Bottom,0.0,23.7mm,69.637500mm
R1139,27.0mm,69.500000mm,Bottom,90.0,27.0mm,69.500000mm
R1140,23.7mm,68.137500mm,Bottom,180.0,23.7mm,68.137500mm
U1,76.0mm,68.000000mm,Bottom,0.0,76.0mm,68.000000mm
U7,46.54529mm,86.840000mm,Bottom,180.0,46.54529mm,86.840000mm
C2,41.400000mm,51.200000mm,Top,-90.0,41.400000mm,51.200000mm
C8,75.600000mm,96.900000mm,Top,90.0,75.600000mm,96.900000mm
C9,83.500000mm,97.000000mm,Top,90.0,83.500000mm,97.000000mm
C19,25.000000mm,25.000000mm,Top,-90.0,25.000000mm,25.000000mm
C21,32.500000mm,69.300000mm,Top,-90.0,32.500000mm,69.300000mm
C22,46.400000mm,85.300000mm,Top,135.0,46.400000mm,85.300000mm
C55,53.200000mm,89.000000mm,Top,-90.0,53.200000mm,89.000000mm
D4,79.500000mm,49.600000mm,Top,-90.0,79.500000mm,49.600000mm
D9,60.300000mm,49.600000mm,Top,-90.0,60.300000mm,49.600000mm
D10,81.300000mm,49.600000mm,Top,-90.0,81.300000mm,49.600000mm
D13,84.949998mm,49.600001mm,Top,-90.0,84.949998mm,49.600001mm
D14,86.849998mm,49.600001mm,Top,-90.0,86.849998mm,49.600001mm
D15,66.000000mm,49.600000mm,Top,-90.0,66.000000mm,49.600000mm
D16,67.900000mm,49.600000mm,Top,-90.0,67.900000mm,49.600000mm
D17,54.600000mm,49.600000mm,Top,-90.0,54.600000mm,49.600000mm
D20,58.400000mm,49.600000mm,Top,-90.0,58.400000mm,49.600000mm
D25,71.850000mm,89.000000mm,Top,270.0,71.850000mm,89.000000mm
D27,68.750000mm,87.337500mm,Top,90.0,68.750000mm,87.337500mm
D28,27.409999mm,74.000000mm,Top,270.0,27.409999mm,74.000000mm
D31,88.749998mm,49.600001mm,Top,-90.0,88.749998mm,49.600001mm
